From,To,Item,Amount,Line_ID,Transaction_ID
Grid,Player,Testonium|Melted|3,5,362,301
Grid,Player,Testonium|Melted|3,25,363,302
Grid,Player,Testonium|Melted|3,5,364,303
Grid,Player,Testonium|Melted|3,5,365,304
Grid,Player,Testonium|Melted|3,25,366,305
Player,Buyer,Testonium|Melted|3|-1,125,367,306
Player,Buyer,Capital,1000,368,306
Seller,Player,Testulator|Melt|3|25,1,369,307
Seller,Player,Capital,300,370,307
Player,Grid,04|Testulator|Melt|3|25,1,371,308
Seller,Player,Testonium|Bar|0|-1,168,372,309
Seller,Player,Capital,840,373,309
Player,Grid,41|Testonium|Bar|0,25,374,310
Player,Grid,04|Testonium|Bar|0,25,375,311
Player,Grid,22|Testonium|Bar|0,25,376,312
Player,Grid,02|Testonium|Bar|0,25,377,313
Player,Grid,00|Testonium|Bar|0,5,378,314
Player,Grid,01|Testonium|Bar|0,5,379,315
Player,Grid,10|Testonium|Bar|0,5,380,316
Player,Grid,11|Testonium|Bar|0,5,381,317
Player,Grid,20|Testonium|Bar|0,5,382,318
Player,Grid,30|Testonium|Bar|0,5,383,319
Player,Grid,21|Testonium|Bar|0,5,384,320
Player,Grid,31|Testonium|Bar|0,5,385,321
Player,Grid,40|Testonium|Bar|0,5,386,322
Player,Grid,50|Testonium|Bar|0,5,387,323
Grid,Player,Testonium|Melted|3,5,388,324
Grid,Player,Testonium|Melted|3,5,389,325
Grid,Player,Testonium|Melted|3,5,390,326
Grid,Player,Testonium|Melted|3,5,391,327
Grid,Player,Testonium|Melted|3,25,392,328
Grid,Player,Testonium|Melted|3,5,393,329
Grid,Player,Testonium|Melted|3,5,394,330
Grid,Player,Testonium|Melted|3,5,395,331
Grid,Player,Testonium|Melted|3,5,396,332
Grid,Player,Testonium|Melted|3,25,397,333
Grid,Player,Testonium|Melted|3,5,398,334
Grid,Player,Testonium|Melted|3,5,399,335
Grid,Player,Testonium|Melted|3,25,400,336
Grid,Player,Testonium|Melted|3,25,401,337
Player,Buyer,Testonium|Melted|3|-1,150,402,338
Player,Buyer,Capital,1200,403,338
Seller,Player,Testonium|Bar|0|-1,132,404,339
Seller,Player,Capital,660,405,339
Player,Grid,41|Testonium|Bar|0,25,406,340
Player,Grid,04|Testonium|Bar|0,25,407,341
Player,Grid,22|Testonium|Bar|0,25,408,342
Player,Grid,02|Testonium|Bar|0,25,409,343
Player,Grid,00|Testonium|Bar|0,5,410,344
Player,Grid,01|Testonium|Bar|0,5,411,345
Player,Grid,10|Testonium|Bar|0,5,412,346
Player,Grid,11|Testonium|Bar|0,5,413,347
Player,Grid,20|Testonium|Bar|0,5,414,348
Player,Grid,30|Testonium|Bar|0,5,415,349
Player,Grid,21|Testonium|Bar|0,5,416,350
Player,Grid,31|Testonium|Bar|0,5,417,351
Player,Grid,40|Testonium|Bar|0,5,418,352
Player,Grid,50|Testonium|Bar|0,5,419,353
Grid,Player,Testonium|Melted|3,5,420,354
Grid,Player,Testonium|Melted|3,5,421,355
Grid,Player,Testonium|Melted|3,5,422,356
Grid,Player,Testonium|Melted|3,5,423,357
Grid,Player,Testonium|Melted|3,25,424,358
Grid,Player,Testonium|Melted|3,5,425,359
Grid,Player,Testonium|Melted|3,5,426,360
Grid,Player,Testonium|Melted|3,5,427,361
Grid,Player,Testonium|Melted|3,5,428,362
Grid,Player,Testonium|Melted|3,25,429,363
Grid,Player,Testonium|Melted|3,5,430,364
Grid,Player,Testonium|Melted|3,5,431,365
Grid,Player,Testonium|Melted|3,25,432,366
Grid,Player,Testonium|Melted|3,25,433,367
Player,Buyer,Testonium|Melted|3|-1,150,434,368
Player,Buyer,Capital,1200,435,368
Seller,Player,Testonium|Bar|0|-1,150,436,369
Seller,Player,Capital,750,437,369
Player,Grid,41|Testonium|Bar|0,25,438,370
Player,Grid,04|Testonium|Bar|0,25,439,371
Player,Grid,22|Testonium|Bar|0,25,440,372
Player,Grid,02|Testonium|Bar|0,25,441,373
Player,Grid,00|Testonium|Bar|0,5,442,374
Player,Grid,01|Testonium|Bar|0,5,443,375
Player,Grid,10|Testonium|Bar|0,5,444,376
Player,Grid,11|Testonium|Bar|0,5,445,377
Player,Grid,20|Testonium|Bar|0,5,446,378
Player,Grid,30|Testonium|Bar|0,5,447,379
Player,Grid,21|Testonium|Bar|0,5,448,380
Player,Grid,31|Testonium|Bar|0,5,449,381
Player,Grid,40|Testonium|Bar|0,5,450,382
Player,Grid,50|Testonium|Bar|0,5,451,383
Grid,Player,Testonium|Melted|3,5,452,384
Grid,Player,Testonium|Melted|3,5,453,385
Grid,Player,Testonium|Melted|3,5,454,386
Grid,Player,Testonium|Melted|3,5,455,387
Grid,Player,Testonium|Melted|3,25,456,388
Grid,Player,Testonium|Melted|3,5,457,389
Grid,Player,Testonium|Melted|3,5,458,390
Grid,Player,Testonium|Melted|3,5,459,391
Grid,Player,Testonium|Melted|3,5,460,392
Grid,Player,Testonium|Melted|3,25,461,393
Grid,Player,Testonium|Melted|3,5,462,394
Grid,Player,Testonium|Melted|3,5,463,395
Grid,Player,Testonium|Melted|3,25,464,396
Grid,Player,Testonium|Melted|3,25,465,397
Player,Buyer,Testonium|Melted|3|-1,150,466,398
Player,Buyer,Capital,1200,467,398
Seller,Player,Testonium|Bar|0|-1,150,468,399
Seller,Player,Capital,750,469,399
Player,Grid,41|Testonium|Bar|0,25,470,400
Player,Grid,04|Testonium|Bar|0,25,471,401
Player,Grid,22|Testonium|Bar|0,25,472,402
Player,Grid,02|Testonium|Bar|0,25,473,403
Player,Grid,00|Testonium|Bar|0,5,474,404
Player,Grid,01|Testonium|Bar|0,5,475,405
Player,Grid,10|Testonium|Bar|0,5,476,406
Player,Grid,11|Testonium|Bar|0,5,477,407
Player,Grid,20|Testonium|Bar|0,5,478,408
Player,Grid,30|Testonium|Bar|0,5,479,409
Player,Grid,21|Testonium|Bar|0,5,480,410
Player,Grid,31|Testonium|Bar|0,5,481,411
Player,Grid,40|Testonium|Bar|0,5,482,412
Player,Grid,50|Testonium|Bar|0,5,483,413
Grid,Player,Testonium|Melted|3,5,484,414
Grid,Player,Testonium|Melted|3,5,485,415
Grid,Player,Testonium|Melted|3,5,486,416
Grid,Player,Testonium|Melted|3,5,487,417
Grid,Player,Testonium|Melted|3,25,488,418
Grid,Player,Testonium|Melted|3,5,489,419
Grid,Player,Testonium|Melted|3,5,490,420
Grid,Player,Testonium|Melted|3,5,491,421
Grid,Player,Testonium|Melted|3,5,492,422
Grid,Player,Testonium|Melted|3,25,493,423
Grid,Player,Testonium|Melted|3,5,494,424
Grid,Player,Testonium|Melted|3,5,495,425
Grid,Player,Testonium|Melted|3,25,496,426
Grid,Player,Testonium|Melted|3,25,497,427
Player,Buyer,Testonium|Melted|3|-1,150,498,428
Player,Buyer,Capital,1200,499,428
